AdaptChoice	Code = 56b	Session = 2	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
56b	241	49	3	1	0	1	5	22	0	5	3	3	2	1	2462	1	1	1
56b	242	50	3	1	0	2	54	9	0	2	5	5	2	1	4392	1	1	1
56b	243	51	3	1	0	3	40	36	0	3	5	5	2	1	3216	1	1	1
56b	244	52	3	1	0	4	42	50	0	2	5	5	2	1	4340	1	1	1
56b	245	53	3	1	0	5	12	37	0	2	5	5	2	1	6675	1	1	1
56b	246	54	3	0	1	6	15	32	0	3	2	2	2	1	4617	1	1	1
56b	247	55	3	0	1	7	12	28	0	2	3	3	2	1	2145	1	1	1
56b	248	56	3	0	1	8	50	3	0	2	3	3	2	1	2688	1	1	1
56b	249	57	3	0	1	9	1	51	0	3	2	2	2	1	2963	NaN	1	1
56b	250	58	3	0	1	10	30	15	0	5	4	4	2	1	3790	0	1	1
56b	251	59	3	0	1	11	42	12	0	4	5	5	2	1	2998	0	1	1
56b	252	60	3	0	1	12	34	12	0	3	2	2	2	1	1242	0	1	1
56b	253	61	3	2	0	1	23	41	0	5	3	3	2	1	6492	0	2	1
56b	254	62	3	2	0	2	13	2	0	4	2	2	2	1	15925	0	2	1
56b	255	63	3	2	0	3	31	44	0	3	5	5	2	1	8026	0	2	1
56b	256	64	3	2	0	4	42	41	0	5	4	4	2	1	2526	0	2	1
56b	257	65	3	2	0	5	21	37	0	2	4	4	2	1	5101	0	2	1
56b	258	66	3	0	2	6	26	32	0	5	2	2	2	1	9439	0	2	1
56b	259	67	3	0	2	7	39	26	0	5	4	4	2	1	4239	0	2	1
56b	260	68	3	0	2	8	27	20	0	4	5	5	2	1	7704	0	2	1
56b	261	69	3	0	2	9	1	4	0	3	4	4	2	1	3557	NaN	2	1
56b	262	70	3	0	2	10	27	13	0	2	3	3	2	1	6892	1	2	1
56b	263	71	3	0	2	11	54	9	0	5	4	4	2	1	3770	1	2	1
56b	264	72	3	0	2	12	37	16	0	3	2	2	2	1	5186	1	2	1
56b	265	73	3	1	0	1	35	45	0	3	2	2	2	1	7197	1	1	1
56b	266	74	3	1	0	2	37	18	0	4	3	3	2	1	4257	1	1	1
56b	267	75	3	1	0	3	33	3	0	3	4	4	2	1	1566	1	1	1
56b	268	76	3	1	0	4	2	23	0	2	5	5	2	1	2310	1	1	1
56b	269	77	3	1	0	5	16	33	0	5	2	2	2	1	1897	1	1	1
56b	270	78	3	0	1	6	36	41	0	4	5	5	2	1	3843	1	1	1
56b	271	79	3	0	1	7	52	31	0	3	5	5	2	1	5604	1	1	1
56b	272	80	3	0	1	8	29	3	0	2	5	5	2	1	3296	1	1	1
56b	273	81	3	0	1	9	35	31	0	4	2	2	2	1	2898	NaN	1	1
56b	274	82	3	0	1	10	31	35	0	4	5	5	2	1	7180	0	1	1
56b	275	83	3	0	1	11	4	32	0	4	3	3	2	1	1967	0	1	1
56b	276	84	3	0	1	12	18	33	0	2	4	4	2	1	11679	0	1	1
56b	277	85	3	2	0	1	53	4	0	2	4	4	2	1	6387	0	2	1
56b	278	86	3	2	0	2	45	37	0	4	3	3	2	1	13803	0	2	1
56b	279	87	3	2	0	3	41	24	0	5	4	4	2	1	3254	0	2	1
56b	280	88	3	2	0	4	2	26	0	4	5	5	2	1	7647	0	2	1
56b	281	89	3	2	0	5	10	51	0	2	3	3	2	1	2044	0	2	1
56b	282	90	3	0	2	6	26	5	0	5	3	3	2	1	5313	0	2	1
56b	283	91	3	0	2	7	9	51	0	3	4	4	2	1	4295	0	2	1
56b	284	92	3	0	2	8	5	29	0	2	4	4	2	1	1533	0	2	1
56b	285	93	3	0	2	9	41	45	0	2	4	4	2	1	7036	NaN	2	1
56b	286	94	3	0	2	10	18	46	0	5	2	2	2	1	2768	1	2	1
56b	287	95	3	0	2	11	2	49	0	5	2	2	2	1	4504	1	2	1
56b	288	96	3	0	2	12	19	44	0	3	4	4	2	1	6146	1	2	1
