MultiTargForag_2	Participant_Code = 62
Search_Type = 2	CB_Targets = 2
Trial	Item_Position_Num	Item_X	ItemY	Item_Shape	Item_Set
1.000000	5.000000	672.404741	179.216122	2.000000	3.000000
1.000000	6.000000	733.199736	152.340995	2.000000	3.000000
1.000000	7.000000	844.261765	153.350444	1.000000	4.000000
1.000000	8.000000	991.840985	133.099624	1.000000	4.000000
1.000000	9.000000	1097.944834	154.248618	1.000000	1.000000
1.000000	10.000000	1171.341590	134.903208	2.000000	3.000000
1.000000	11.000000	226.358241	291.365894	1.000000	1.000000
1.000000	12.000000	324.133905	268.962641	1.000000	4.000000
1.000000	13.000000	409.427855	289.402659	2.000000	3.000000
1.000000	14.000000	545.796160	237.652201	2.000000	3.000000
1.000000	15.000000	635.195182	277.389911	1.000000	1.000000
1.000000	16.000000	740.222628	254.241708	2.000000	3.000000
1.000000	17.000000	885.595923	281.472686	2.000000	2.000000
1.000000	18.000000	998.184342	238.065837	1.000000	4.000000
1.000000	19.000000	1075.481032	264.916566	2.000000	3.000000
1.000000	20.000000	1178.398258	233.789666	1.000000	1.000000
1.000000	21.000000	223.776187	392.054004	2.000000	2.000000
1.000000	22.000000	332.742018	381.630353	2.000000	3.000000
1.000000	23.000000	430.510859	396.725113	2.000000	2.000000
1.000000	24.000000	555.736568	359.030445	2.000000	2.000000
1.000000	25.000000	660.860634	369.952514	2.000000	2.000000
1.000000	26.000000	736.954923	397.287171	1.000000	1.000000
1.000000	27.000000	881.013216	353.802056	1.000000	1.000000
1.000000	28.000000	989.516554	350.459185	1.000000	4.000000
1.000000	29.000000	1063.572301	380.972247	1.000000	1.000000
1.000000	30.000000	1175.287892	385.231007	1.000000	4.000000
1.000000	31.000000	222.790213	447.446635	2.000000	2.000000
1.000000	32.000000	289.993688	506.768812	1.000000	1.000000
1.000000	33.000000	397.837046	448.841431	2.000000	3.000000
1.000000	34.000000	537.517553	475.660534	1.000000	4.000000
1.000000	35.000000	626.906784	483.617482	1.000000	4.000000
1.000000	36.000000	742.823360	450.285567	2.000000	2.000000
1.000000	37.000000	842.981231	483.642559	1.000000	4.000000
1.000000	38.000000	1000.357411	484.543572	1.000000	4.000000
1.000000	39.000000	1061.063150	482.212139	1.000000	1.000000
1.000000	40.000000	1200.607693	437.747397	1.000000	1.000000
1.000000	41.000000	211.378436	593.609944	2.000000	3.000000
1.000000	42.000000	333.955539	555.007611	2.000000	2.000000
1.000000	43.000000	425.727224	577.598808	2.000000	2.000000
1.000000	44.000000	554.483911	552.044185	1.000000	1.000000
1.000000	45.000000	659.324797	588.656288	1.000000	1.000000
1.000000	46.000000	777.742321	543.324740	1.000000	1.000000
1.000000	47.000000	871.857085	567.195907	2.000000	2.000000
1.000000	48.000000	950.768995	580.752702	2.000000	3.000000
1.000000	49.000000	1085.979593	557.205665	2.000000	2.000000
1.000000	50.000000	1205.181878	549.012959	2.000000	3.000000
1.000000	51.000000	188.654651	661.335565	1.000000	4.000000
1.000000	52.000000	325.857812	717.114346	1.000000	1.000000
1.000000	53.000000	450.613041	687.170900	2.000000	2.000000
1.000000	54.000000	510.184560	651.514843	2.000000	3.000000
1.000000	55.000000	658.869978	677.339430	1.000000	4.000000
1.000000	56.000000	741.611301	719.541184	2.000000	2.000000
1.000000	57.000000	869.086058	672.575359	1.000000	4.000000
1.000000	58.000000	996.745896	657.534426	2.000000	3.000000
1.000000	59.000000	1099.022262	695.543910	2.000000	3.000000
1.000000	60.000000	1168.673157	667.734760	1.000000	1.000000
1.000000	61.000000	231.182958	779.174012	1.000000	1.000000
1.000000	62.000000	325.995710	813.379010	2.000000	2.000000
1.000000	63.000000	440.102136	800.686104	2.000000	3.000000
1.000000	64.000000	550.311310	824.010045	1.000000	1.000000
1.000000	65.000000	656.069833	792.328166	1.000000	4.000000
